year,births
1909,2718000
1910,2777000
1911,2809000
1912,2840000
1913,2869000
1914,2966000
1915,2965000
1916,2964000
1917,2944000
1918,2948000
1919,2740000
1920,2950000
1921,3055000
1922,2882000
1923,2910000
1924,2979000
1925,2909000
1926,2839000
1927,2802000
1928,2674000
1929,2582000
1930,2618000
1931,2506000
1932,2440000
1933,2307000
1934,2396000
1935,2377000
1936,2355000
1937,2413000
1938,2496000
1939,2466000
1940,2559000
1941,2703000
1942,2989000
1943,3104000
1944,2939000
1945,2858000
1946,3411000
1947,3817000
1948,3637000
1949,3649000
1950,3632000
1951,3823000
1952,3913000
1953,3965000
1954,4078000
1955,4097000
1956,4218000
1957,4300000
1958,4255000
1959,4245000
1960,4258000
1961,4268000
1962,4167000
1963,4098000
1964,4027000
1965,3760000
1966,3606000
1967,3521000
1968,3502000
1969,3600000
1970,3731000
1971,3556000
1972,3258000
1973,3137000
1974,3160000
1975,3144000
1976,3168000
1977,3327000
1978,3333000
1979,3494000
1980,3612000
1981,3629000
1982,3681000
1983,3639000
1984,3669000
1985,3761000
1986,3757000
1987,3809000
1988,3910000
1989,4041000
1990,4158000
1991,4111000
1992,4065000
1993,4000000
1994,3953000
1995,3900000
1996,3891000
1997,3881000
1998,3942000
1999,3959000
2000,4059000
2001,4026000
2002,4021726
2003,4089950
2004,4112052
2005,4138349
2006,4265555
2007,4316233
2008,4247694
2009,4130665
2010,3999386
2011,3953590
2012,3952841
2013,3932181
2014,3988076
