x,qx,lx,dx,Lx,Tx,ex,sex,year
0.0,0.14596,1e5,14596.0,90026.0,5151511.0,51.52,M,1900.0
1.0,0.03282,85404.0,2803.0,84003.0,5061484.0,59.26,M,1900.0
2.0,0.01634,82601.0,1350.0,81926.0,4977482.0,60.26,M,1900.0
3.0,0.01052,81251.0,855.0,80824.0,4895556.0,60.25,M,1900.0
4.0,0.00875,80397.0,703.0,80045.0,4814732.0,59.89,M,1900.0
5.0,0.00628,79693.0,501.0,79443.0,4734687.0,59.41,M,1900.0
6.0,0.00462,79193.0,366.0,79010.0,4655244.0,58.78,M,1900.0
7.0,0.00326,78827.0,257.0,78698.0,4576234.0,58.05,M,1900.0
8.0,0.00256,78569.0,201.0,78469.0,4497536.0,57.24,M,1900.0
9.0,0.00203,78368.0,159.0,78288.0,4419068.0,56.39,M,1900.0
10.0,0.00211,78209.0,165.0,78127.0,4340779.0,55.5,M,1900.0
11.0,0.00217,78044.0,169.0,77960.0,4262653.0,54.62,M,1900.0
12.0,0.00212,77875.0,165.0,77793.0,4184693.0,53.74,M,1900.0
13.0,0.00239,77710.0,186.0,77617.0,4106900.0,52.85,M,1900.0
14.0,0.00254,77525.0,197.0,77426.0,4029283.0,51.97,M,1900.0
15.0,0.00267,77328.0,206.0,77225.0,3951856.0,51.11,M,1900.0
16.0,0.0032,77122.0,247.0,76998.0,3874632.0,50.24,M,1900.0
17.0,0.00378,76875.0,291.0,76730.0,3797633.0,49.4,M,1900.0
18.0,0.00913,76584.0,700.0,76235.0,3720904.0,48.59,M,1900.0
19.0,0.00531,75885.0,403.0,75683.0,3644669.0,48.03,M,1900.0
20.0,0.00507,75482.0,383.0,75291.0,3568985.0,47.28,M,1900.0
21.0,0.00437,75099.0,328.0,74935.0,3493695.0,46.52,M,1900.0
22.0,0.00449,74771.0,336.0,74603.0,3418760.0,45.72,M,1900.0
23.0,0.00472,74435.0,351.0,74259.0,3344157.0,44.93,M,1900.0
24.0,0.00456,74084.0,338.0,73915.0,3269898.0,44.14,M,1900.0
25.0,0.00462,73746.0,341.0,73576.0,3195983.0,43.34,M,1900.0
26.0,0.00467,73405.0,343.0,73234.0,3122407.0,42.54,M,1900.0
27.0,0.00457,73063.0,334.0,72896.0,3049173.0,41.73,M,1900.0
28.0,0.00494,72729.0,359.0,72550.0,2976277.0,40.92,M,1900.0
29.0,0.00504,72370.0,365.0,72188.0,2903728.0,40.12,M,1900.0
30.0,0.00491,72005.0,354.0,71829.0,2831540.0,39.32,M,1900.0
31.0,0.00496,71652.0,356.0,71474.0,2759711.0,38.52,M,1900.0
32.0,0.00472,71296.0,336.0,71128.0,2688237.0,37.71,M,1900.0
33.0,0.00486,70960.0,345.0,70787.0,2617109.0,36.88,M,1900.0
34.0,0.00521,70615.0,368.0,70431.0,2546322.0,36.06,M,1900.0
35.0,0.00553,70247.0,388.0,70053.0,2475891.0,35.25,M,1900.0
36.0,0.00605,69858.0,423.0,69647.0,2405838.0,34.44,M,1900.0
37.0,0.00601,69436.0,417.0,69227.0,2336191.0,33.65,M,1900.0
38.0,0.00555,69019.0,383.0,68827.0,2266964.0,32.85,M,1900.0
39.0,0.00563,68635.0,386.0,68442.0,2198137.0,32.03,M,1900.0
40.0,0.00595,68249.0,406.0,68046.0,2129695.0,31.2,M,1900.0
41.0,0.00627,67843.0,426.0,67630.0,2061648.0,30.39,M,1900.0
42.0,0.00654,67418.0,441.0,67197.0,1994018.0,29.58,M,1900.0
43.0,0.00701,66977.0,470.0,66742.0,1926821.0,28.77,M,1900.0
44.0,0.00721,66507.0,480.0,66267.0,1860079.0,27.97,M,1900.0
45.0,0.00775,66028.0,512.0,65772.0,1793812.0,27.17,M,1900.0
46.0,0.00795,65516.0,521.0,65256.0,1728040.0,26.38,M,1900.0
47.0,0.00869,64995.0,565.0,64713.0,1662785.0,25.58,M,1900.0
48.0,0.00947,64430.0,610.0,64125.0,1598072.0,24.8,M,1900.0
49.0,0.0102,63820.0,651.0,63495.0,1533947.0,24.04,M,1900.0
50.0,0.01094,63169.0,691.0,62824.0,1470452.0,23.28,M,1900.0
51.0,0.01211,62478.0,757.0,62100.0,1407628.0,22.53,M,1900.0
52.0,0.01313,61722.0,810.0,61317.0,1345528.0,21.8,M,1900.0
53.0,0.0141,60912.0,859.0,60482.0,1284211.0,21.08,M,1900.0
54.0,0.01446,60053.0,868.0,59619.0,1223729.0,20.38,M,1900.0
55.0,0.01556,59184.0,921.0,58724.0,1164111.0,19.67,M,1900.0
56.0,0.01698,58264.0,989.0,57769.0,1105387.0,18.97,M,1900.0
57.0,0.01859,57274.0,1065.0,56742.0,1047618.0,18.29,M,1900.0
58.0,0.01984,56210.0,1115.0,55652.0,990876.0,17.63,M,1900.0
59.0,0.02158,55094.0,1189.0,54500.0,935224.0,16.98,M,1900.0
60.0,0.02392,53905.0,1290.0,53260.0,880724.0,16.34,M,1900.0
61.0,0.02562,52616.0,1348.0,51941.0,827464.0,15.73,M,1900.0
62.0,0.02813,51267.0,1442.0,50546.0,775522.0,15.13,M,1900.0
63.0,0.03112,49825.0,1551.0,49050.0,724976.0,14.55,M,1900.0
64.0,0.03302,48275.0,1594.0,47478.0,675926.0,14.0,M,1900.0
65.0,0.03554,46681.0,1659.0,45851.0,628448.0,13.46,M,1900.0
66.0,0.03827,45022.0,1723.0,44160.0,582597.0,12.94,M,1900.0
67.0,0.03986,43299.0,1726.0,42436.0,538437.0,12.44,M,1900.0
68.0,0.04376,41573.0,1819.0,40663.0,496001.0,11.93,M,1900.0
69.0,0.04579,39753.0,1820.0,38843.0,455338.0,11.45,M,1900.0
70.0,0.04887,37933.0,1854.0,37006.0,416495.0,10.98,M,1900.0
71.0,0.05267,36079.0,1900.0,35129.0,379488.0,10.52,M,1900.0
72.0,0.0573,34179.0,1958.0,33200.0,344359.0,10.08,M,1900.0
73.0,0.06049,32221.0,1949.0,31246.0,311159.0,9.66,M,1900.0
74.0,0.06249,30272.0,1892.0,29326.0,279913.0,9.25,M,1900.0
75.0,0.06575,28380.0,1866.0,27447.0,250587.0,8.83,M,1900.0
76.0,0.07065,26514.0,1873.0,25578.0,223139.0,8.42,M,1900.0
77.0,0.07488,24641.0,1845.0,23719.0,197562.0,8.02,M,1900.0
78.0,0.07999,22796.0,1823.0,21884.0,173843.0,7.63,M,1900.0
79.0,0.08371,20973.0,1756.0,20095.0,151959.0,7.25,M,1900.0
80.0,0.09204,19217.0,1769.0,18333.0,131864.0,6.86,M,1900.0
81.0,0.09753,17448.0,1702.0,16597.0,113531.0,6.51,M,1900.0
82.0,0.1024,15747.0,1612.0,14940.0,96934.0,6.16,M,1900.0
83.0,0.11353,14134.0,1605.0,13332.0,81993.0,5.8,M,1900.0
84.0,0.12095,12530.0,1515.0,11772.0,68661.0,5.48,M,1900.0
85.0,0.13187,11014.0,1452.0,10288.0,56890.0,5.17,M,1900.0
86.0,0.14038,9562.0,1342.0,8891.0,46602.0,4.87,M,1900.0
87.0,0.15028,8219.0,1235.0,7602.0,37711.0,4.59,M,1900.0
88.0,0.16689,6984.0,1166.0,6401.0,30109.0,4.31,M,1900.0
89.0,0.17336,5819.0,1009.0,5314.0,23708.0,4.07,M,1900.0
90.0,0.18509,4810.0,890.0,4365.0,18394.0,3.82,M,1900.0
91.0,0.19691,3920.0,772.0,3534.0,14029.0,3.58,M,1900.0
92.0,0.21241,3148.0,669.0,2813.0,10495.0,3.33,M,1900.0
93.0,0.23458,2479.0,582.0,2188.0,7682.0,3.1,M,1900.0
94.0,0.25351,1898.0,481.0,1657.0,5493.0,2.89,M,1900.0
95.0,0.27339,1417.0,387.0,1223.0,3836.0,2.71,M,1900.0
96.0,0.29246,1029.0,301.0,879.0,2613.0,2.54,M,1900.0
97.0,0.31316,728.0,228.0,614.0,1735.0,2.38,M,1900.0
98.0,0.33011,500.0,165.0,418.0,1120.0,2.24,M,1900.0
99.0,0.35368,335.0,119.0,276.0,703.0,2.1,M,1900.0
